genes,moduleNum,MM,MMpadj,Accession,Protein Name
111242876,Module.9,0.7781005287547094,3.132128789742412e-13,NW_019211454.1,mitochondrial amidoxime reducing component 2-like isoform X1
111242876,Module.9,0.7781005287547094,3.132128789742412e-13,NW_019211454.1,mitochondrial amidoxime reducing component 2-like isoform X2
111242876,Module.9,0.7781005287547094,3.132128789742412e-13,NW_019211454.1,mitochondrial amidoxime reducing component 2-like isoform X3
111242876,Module.9,0.7781005287547094,3.132128789742412e-13,NW_019211454.1,mitochondrial amidoxime reducing component 2-like isoform X3
111252595,Module.9,0.8314911695643544,1.6112241644561157e-16,NW_019211454.1,uncharacterized protein LOC111252595 isoform X1
111245582,Module.9,0.8437882297191898,1.9495767187406992e-17,NW_019211455.1,NADH dehydrogenase
111245376,Module.9,0.7354068033291363,3.355035865461997e-11,NW_019211455.1,uncharacterized protein LOC111245376 isoform X1
111245376,Module.9,0.7354068033291363,3.355035865461997e-11,NW_019211455.1,uncharacterized protein LOC111245376 isoform X2
111247339,Module.9,0.7229201688552358,1.1115288078309396e-10,NW_019211454.1,uncharacterized protein LOC111247339
111247339,Module.9,0.7229201688552358,1.1115288078309396e-10,NW_019211454.1,uncharacterized protein LOC111247339
111252595,Module.9,0.8314911695643544,1.6112241644561157e-16,NW_019211454.1,uncharacterized protein LOC111252595 isoform X1
111252595,Module.9,0.8314911695643544,1.6112241644561157e-16,NW_019211454.1,uncharacterized protein LOC111252595 isoform X3
111252595,Module.9,0.8314911695643544,1.6112241644561157e-16,NW_019211454.1,uncharacterized protein LOC111252595 isoform X2
111252595,Module.9,0.8314911695643544,1.6112241644561157e-16,NW_019211454.1,uncharacterized protein LOC111252595 isoform X2
111252595,Module.9,0.8314911695643544,1.6112241644561157e-16,NW_019211454.1,uncharacterized protein LOC111252595 isoform X2
111252595,Module.9,0.8314911695643544,1.6112241644561157e-16,NW_019211454.1,uncharacterized protein LOC111252595 isoform X2
111252595,Module.9,0.8314911695643544,1.6112241644561157e-16,NW_019211454.1,uncharacterized protein LOC111252595 isoform X2
111252595,Module.9,0.8314911695643544,1.6112241644561157e-16,NW_019211454.1,uncharacterized protein LOC111252595 isoform X2
111252595,Module.9,0.8314911695643544,1.6112241644561157e-16,NW_019211454.1,uncharacterized protein LOC111252595 isoform X2
111243700,Module.9,0.7797592970808737,2.5616924891988436e-13,NW_019211455.1,uncharacterized protein LOC111243700 isoform X1
111243700,Module.9,0.7797592970808737,2.5616924891988436e-13,NW_019211455.1,uncharacterized protein LOC111243700 isoform X2
111244895,Module.9,0.6492903453828598,4.026517877505519e-8,NW_019211455.1,glutathione S-transferase class-mu 26 kDa isozyme 47-like
111244895,Module.9,0.6492903453828598,4.026517877505519e-8,NW_019211455.1,glutathione S-transferase class-mu 26 kDa isozyme 47-like
111244895,Module.9,0.6492903453828598,4.026517877505519e-8,NW_019211455.1,glutathione S-transferase class-mu 26 kDa isozyme 47-like
111249253,Module.9,0.8020106857073589,1.4154034786020611e-14,NW_019211454.1,uncharacterized protein LOC111249253
111244366,Module.9,0.8114500559318615,3.66689477593496e-15,NW_019211455.1,alpha-crystallin A chain-like
111252065,Module.9,0.801243434119628,1.5716355525643017e-14,NW_019211454.1,uncharacterized protein LOC111252065
111252065,Module.9,0.801243434119628,1.5716355525643017e-14,NW_019211454.1,uncharacterized protein LOC111252065
111252065,Module.9,0.801243434119628,1.5716355525643017e-14,NW_019211454.1,uncharacterized protein LOC111252065
111245094,Module.9,0.7606702129595118,2.374995671374645e-12,NW_019211454.1,uncharacterized protein LOC111245094 isoform X1
111245094,Module.9,0.7606702129595118,2.374995671374645e-12,NW_019211454.1,uncharacterized protein LOC111245094 isoform X1
111245094,Module.9,0.7606702129595118,2.374995671374645e-12,NW_019211454.1,uncharacterized protein LOC111245094 isoform X1
111245094,Module.9,0.7606702129595118,2.374995671374645e-12,NW_019211454.1,uncharacterized protein LOC111245094 isoform X1
111245094,Module.9,0.7606702129595118,2.374995671374645e-12,NW_019211454.1,uncharacterized protein LOC111245094 isoform X1
111245094,Module.9,0.7606702129595118,2.374995671374645e-12,NW_019211454.1,uncharacterized protein LOC111245094 isoform X1
111245094,Module.9,0.7606702129595118,2.374995671374645e-12,NW_019211454.1,uncharacterized protein LOC111245094 isoform X2
111245018,Module.9,0.8132026600875856,2.830428398846561e-15,NW_019211455.1,"ATP synthase subunit gamma, mitochondrial-like"
111249484,Module.9,0.7055220192879723,5.279783982190815e-10,NW_019211454.1,uncharacterized protein LOC111249484 isoform X1
111249484,Module.9,0.7055220192879723,5.279783982190815e-10,NW_019211454.1,uncharacterized protein LOC111249484 isoform X2
111243925,Module.9,0.7149556607380633,2.30650673450761e-10,NW_019211455.1,uncharacterized protein LOC111243925 isoform X3
111243925,Module.9,0.7149556607380633,2.30650673450761e-10,NW_019211455.1,uncharacterized protein LOC111243925 isoform X1
111243925,Module.9,0.7149556607380633,2.30650673450761e-10,NW_019211455.1,uncharacterized protein LOC111243925 isoform X2
111245627,Module.9,0.8747784663736861,3.698549193401842e-20,NW_019211455.1,NADH dehydrogenase
111245319,Module.9,0.8013402421228997,1.550721671085855e-14,NW_019211455.1,uncharacterized protein LOC111245319
111243999,Module.9,0.7307336274592403,5.2897905067672775e-11,NW_019211455.1,chondroitin sulfate synthase 3-like
111243999,Module.9,0.7307336274592403,5.2897905067672775e-11,NW_019211455.1,chondroitin sulfate synthase 3-like
111245837,Module.9,0.9163486155546784,3.2900594374731073e-25,NW_019211455.1,NADH dehydrogenase
111245224,Module.9,0.9438102625484074,2.8225587434595535e-30,NW_019211455.1,"ATPase inhibitor, mitochondrial-like"
111243305,Module.9,0.6966181400576319,1.121091000290483e-9,NW_019211454.1,tankyrase-1-like isoform X1
111243305,Module.9,0.6966181400576319,1.121091000290483e-9,NW_019211454.1,tankyrase-1-like isoform X2
111242941,Module.9,0.6740230112503315,6.758226830633213e-9,NW_019211454.1,urease accessory protein F-like isoform X2
111242941,Module.9,0.6740230112503315,6.758226830633213e-9,NW_019211454.1,urease accessory protein F-like isoform X1
111244078,Module.9,0.6919970585111647,1.6425187865022515e-9,NW_019211455.1,erythrocyte band 7 integral membrane protein-like isoform X2
111244078,Module.9,0.6919970585111647,1.6425187865022515e-9,NW_019211455.1,erythrocyte band 7 integral membrane protein-like isoform X1
111244078,Module.9,0.6919970585111647,1.6425187865022515e-9,NW_019211455.1,erythrocyte band 7 integral membrane protein-like isoform X3
111255263,Module.9,0.744996767887466,1.2731164112336955e-11,NW_019211454.1,aldose reductase-related protein 2-like isoform X2
111255263,Module.9,0.744996767887466,1.2731164112336955e-11,NW_019211454.1,"1,5-anhydro-D-fructose reductase-like isoform X1"
111244149,Module.9,0.9304243779772864,1.4934855805376902e-27,NW_019211455.1,uncharacterized protein LOC111244149
111255470,Module.9,0.9044366868188659,1.565783914239805e-23,NW_019211454.1,"ATP synthase subunit d, mitochondrial-like"
