genes,moduleNum,MM,MMpadj,Accession,Protein Name
111254770,Module.6,0.9461911764368934,7.781836095968047e-31,NW_019211454.1,uncharacterized protein LOC111254770
111242935,Module.6,0.8449715760715643,1.5753149403909145e-17,NW_019211454.1,DNA-directed RNA polymerase II subunit RPB9-like
111248837,Module.6,0.9135177260299666,8.649923354167103e-25,NW_019211454.1,vacuolar fusion protein MON1 homolog A-like
111243170,Module.6,0.9125607810281222,1.1829936676127696e-24,NW_019211454.1,uncharacterized protein LOC111243170 isoform X1
111243170,Module.6,0.9125607810281222,1.1829936676127696e-24,NW_019211454.1,uncharacterized protein LOC111243170 isoform X2
111243170,Module.6,0.9125607810281222,1.1829936676127696e-24,NW_019211454.1,uncharacterized protein LOC111243170 isoform X3
111243170,Module.6,0.9125607810281222,1.1829936676127696e-24,NW_019211454.1,uncharacterized protein LOC111243170 isoform X3
111243170,Module.6,0.9125607810281222,1.1829936676127696e-24,NW_019211454.1,uncharacterized protein LOC111243170 isoform X3
111255313,Module.6,0.9293582818458177,2.307916196625036e-27,NW_019211454.1,NIF3-like protein 1 isoform X1
111255313,Module.6,0.9293582818458177,2.307916196625036e-27,NW_019211454.1,NIF3-like protein 1 isoform X2
111255313,Module.6,0.9293582818458177,2.307916196625036e-27,NW_019211454.1,NIF3-like protein 1 isoform X3
111255313,Module.6,0.9293582818458177,2.307916196625036e-27,NW_019211454.1,NIF3-like protein 1 isoform X3
111255313,Module.6,0.9293582818458177,2.307916196625036e-27,NW_019211454.1,NIF3-like protein 1 isoform X3
111255313,Module.6,0.9293582818458177,2.307916196625036e-27,NW_019211454.1,NIF3-like protein 1 isoform X3
111255313,Module.6,0.9293582818458177,2.307916196625036e-27,NW_019211454.1,NIF3-like protein 1 isoform X3
111255313,Module.6,0.9293582818458177,2.307916196625036e-27,NW_019211454.1,NIF3-like protein 1 isoform X3
111245726,Module.6,0.782053963495574,1.9305456700649402e-13,NW_019211455.1,E3 SUMO-protein ligase PIAS1-like isoform X2
111245726,Module.6,0.782053963495574,1.9305456700649402e-13,NW_019211455.1,E3 SUMO-protein ligase PIAS1-like isoform X1
111245726,Module.6,0.782053963495574,1.9305456700649402e-13,NW_019211455.1,uncharacterized protein LOC111245726 isoform X4
111245726,Module.6,0.782053963495574,1.9305456700649402e-13,NW_019211455.1,E3 SUMO-protein ligase PIAS1-like isoform X3
111244657,Module.6,0.8227274721069162,6.642672283614387e-16,NW_019211455.1,uncharacterized protein LOC111244657
111244940,Module.6,0.9715550470077214,4.1747968757575477e-39,NW_019211455.1,uncharacterized protein LOC111244940
111245228,Module.6,0.6415421216551644,6.81028520446606e-8,NW_019211455.1,E3 ubiquitin-protein ligase RNF26-like
111245228,Module.6,0.6415421216551644,6.81028520446606e-8,NW_019211455.1,E3 ubiquitin-protein ligase RNF26-like
111245228,Module.6,0.6415421216551644,6.81028520446606e-8,NW_019211455.1,E3 ubiquitin-protein ligase RNF26-like
111250948,Module.6,0.6453935769019844,5.2637496143894714e-8,NW_019211454.1,histone H2A-like
111251322,Module.6,0.8243207887116775,5.160951593799874e-16,NW_019211454.1,ragulator complex protein LAMTOR5 homolog
111252233,Module.6,0.5977476209328433,1.0207421666571547e-6,NW_019211454.1,uncharacterized protein LOC111252233
111248772,Module.6,0.5811886613429874,2.562113000322337e-6,NW_019211454.1,fas apoptotic inhibitory molecule 1-like
111248772,Module.6,0.5811886613429874,2.562113000322337e-6,NW_019211454.1,fas apoptotic inhibitory molecule 1-like
111243892,Module.6,0.9287359718882705,2.967707176928713e-27,NW_019211455.1,iron-sulfur protein NUBPL-like
111255524,Module.6,0.7092978704372569,3.8141071850947806e-10,NW_019211454.1,uncharacterized protein LOC111255524 isoform X1
