genes,moduleNum,MM,MMpadj,Accession,Protein Name
111250207,Module.10,0.7511331821897798,6.689922926303059e-12,NW_019211454.1,uncharacterized protein LOC111250207
111252308,Module.10,0.6919649039392651,1.646684484148607e-9,NW_019211454.1,elongation factor 1-alpha
111248989,Module.10,0.7566122123398792,3.703327120101618e-12,NW_019211454.1,uncharacterized protein LOC111248989
111249796,Module.10,0.7803015007853583,2.4001156370849664e-13,NW_019211454.1,serine/arginine repetitive matrix protein 1-like isoform X7
111249796,Module.10,0.7803015007853583,2.4001156370849664e-13,NW_019211454.1,serine/arginine repetitive matrix protein 1-like isoform X2
111249796,Module.10,0.7803015007853583,2.4001156370849664e-13,NW_019211454.1,serine/arginine repetitive matrix protein 1-like isoform X4
111249796,Module.10,0.7803015007853583,2.4001156370849664e-13,NW_019211454.1,serine/arginine repetitive matrix protein 1-like isoform X6
111249796,Module.10,0.7803015007853583,2.4001156370849664e-13,NW_019211454.1,serine/arginine repetitive matrix protein 1-like isoform X5
111249796,Module.10,0.7803015007853583,2.4001156370849664e-13,NW_019211454.1,trichohyalin-like isoform X3
111249796,Module.10,0.7803015007853583,2.4001156370849664e-13,NW_019211454.1,involucrin-like isoform X1
111249796,Module.10,0.7803015007853583,2.4001156370849664e-13,NW_019211454.1,trichohyalin-like isoform X8
111244379,Module.10,0.8520424693389939,4.2617826453537185e-18,NW_019211454.1,uncharacterized protein LOC111244379
111252575,Module.10,0.7434951364198894,1.4856009080229098e-11,NW_019211454.1,uncharacterized protein LOC111252575 isoform X1
111252575,Module.10,0.7434951364198894,1.4856009080229098e-11,NW_019211454.1,uncharacterized protein LOC111252575 isoform X1
111252575,Module.10,0.7434951364198894,1.4856009080229098e-11,NW_019211454.1,uncharacterized protein LOC111252575 isoform X1
111252575,Module.10,0.7434951364198894,1.4856009080229098e-11,NW_019211454.1,uncharacterized protein LOC111252575 isoform X2
111242912,Module.10,0.8011922707438188,1.5823583667422614e-14,NW_019211454.1,uncharacterized protein LOC111242912
111242912,Module.10,0.8011922707438188,1.5823583667422614e-14,NW_019211454.1,uncharacterized protein LOC111242912
111242912,Module.10,0.8011922707438188,1.5823583667422614e-14,NW_019211454.1,uncharacterized protein LOC111242912
111242912,Module.10,0.8011922707438188,1.5823583667422614e-14,NW_019211454.1,uncharacterized protein LOC111242912
111244832,Module.10,0.8457064365915776,1.3800551880407835e-17,NW_019211455.1,calmodulin-A-like isoform X1
111244832,Module.10,0.8457064365915776,1.3800551880407835e-17,NW_019211455.1,calmodulin-like isoform X2
111243721,Module.10,0.75140708263322,6.499790672037522e-12,NW_019211455.1,ATP-dependent 6-phosphofructokinase-like isoform X2
111243721,Module.10,0.75140708263322,6.499790672037522e-12,NW_019211455.1,ATP-dependent 6-phosphofructokinase-like isoform X1
111244234,Module.10,0.7204669975880317,1.3950380414510176e-10,NW_019211455.1,sodium/calcium exchanger 1-like isoform X2
111244234,Module.10,0.7204669975880317,1.3950380414510176e-10,NW_019211455.1,sodium/calcium exchanger 1-like isoform X2
111244234,Module.10,0.7204669975880317,1.3950380414510176e-10,NW_019211455.1,sodium/calcium exchanger 3-like isoform X1
111244234,Module.10,0.7204669975880317,1.3950380414510176e-10,NW_019211455.1,sodium/calcium exchanger 3-like isoform X1
111244234,Module.10,0.7204669975880317,1.3950380414510176e-10,NW_019211455.1,sodium/calcium exchanger 3-like isoform X1
111244234,Module.10,0.7204669975880317,1.3950380414510176e-10,NW_019211455.1,sodium/calcium exchanger 3-like isoform X1
111244234,Module.10,0.7204669975880317,1.3950380414510176e-10,NW_019211455.1,sodium/calcium exchanger 3-like isoform X1
111244234,Module.10,0.7204669975880317,1.3950380414510176e-10,NW_019211455.1,sodium/calcium exchanger 1-like isoform X3
111245727,Module.10,0.5938779554878333,1.2718987580799347e-6,NW_019211455.1,uncharacterized protein LOC111245727 isoform X1
111245727,Module.10,0.5938779554878333,1.2718987580799347e-6,NW_019211455.1,uncharacterized protein LOC111245727 isoform X2
111244186,Module.10,0.6579545145166518,2.1993304957071555e-8,NW_019211455.1,uncharacterized protein LOC111244186
111245869,Module.10,0.8261388715072512,3.859080245843851e-16,NW_019211455.1,succinate--CoA ligase
